Jour;Note;Type;Lecture
20/02/2025;6.5;Alternance;56.0
21/02/2025;6.5;Alternance/Week-end;30.0
22/02/2025;8.0;Vacances;80.0
23/02/2025;8.0;Vacances;90.0
24/02/2025;9.0;Vacances;65.0
25/02/2025;8.0;Vacances;50.0
26/02/2025;7.5;Vacances;100.0
27/02/2025;7.0;Vacances;0.0
28/02/2025;7.0;Vacances;156.0
01/03/2025;7.5;Vacances;136.0
02/03/2025;6.5;Vacances;80.0
03/03/2025;7.0;Cours;50.0
04/03/2025;6.5;Cours;55.0
05/03/2025;7.0;Cours;110.0
06/03/2025;7.0;Cours;80.0
07/03/2025;6.5;Cours/Week-end;23.0
08/03/2025;7.5;Week-end;44.0
09/03/2025;7.0;Week-end;105.0
10/03/2025;6.5;Cours;49.0
11/03/2025;7.0;Cours;96.0
12/03/2025;6.5;Cours;30.0
13/03/2025;5.5;Cours;18.0
14/03/2025;6.0;Cours/Week-end;18.0
15/03/2025;8.0;Week-end;41.0
16/03/2025;5.5;Week-end;33.0
17/03/2025;6.0;Cours;35.0
18/03/2025;5.5;Cours;57.0
19/03/2025;7.0;Cours;18.0
20/03/2025;6.5;Cours;30.0
21/03/2025;6.5;Cours/Week-end;109.0
22/03/2025;7.0;Week-end;80.0
23/03/2025;7.0;Week-end;108.0
24/03/2025;6.5;Cours;80.0
25/03/2025;6.5;Cours ;14.0
26/03/2025;6.0;Cours ;2.0
27/03/2025;7.5;Alternance;46.0
28/03/2025;6.5;Alternance/Week-end;3.0
29/03/2025;8.0;Week-end;10.0
30/03/2025;7.0;Week-end;80.0
31/03/2025;7.0;Alternance;24.0
01/04/2025;7.0;Alternance;57.0
02/04/2025;7.5;Alternance;7.0
03/04/2025;6.0;Alternance;42.0
04/04/2025;5.0;Alternance/Week-end;7.0
05/04/2025;8.0;Week-end;162.0
06/04/2025;7.5;Week-end;47.0
07/04/2025;6.5;Alternance;13.0
08/04/2025;6.5;Alternance;30.0
09/04/2025;7.0;Alternance;2.0
10/04/2025;7.0;Alternance;8.0
11/04/2025;7.5;Alternance/Week-end;5.0
12/04/2025;8.0;Week-end;0.0
13/04/2025;7.5;Week-end;3.0
14/04/2025;6.0;Alternance;25.0
15/04/2025;5.5;Alternance;2.0
16/04/2025;5.5;Alternance;0.0
17/04/2025;5.0;Alternance;0.0
18/04/2025;6.0;Alternance/Week-end;28.0
19/04/2025;7.0;Week-end;56.0
20/04/2025;7.0;Week-end;95.0
21/04/2025;6.5;Week-end;132.0
22/04/2025;5.0;Alternance;8.0
23/04/2025;4.5;Alternance;0.0
24/04/2025;4.5;Alternance;2.0
25/04/2025;3.0;Alternance/Week-end;20.0
26/04/2025;7.0;Week-end;113.0
27/04/2025;7.5;Week-end;5.0
28/04/2025;6.5;Alternance;0.0
29/04/2025;6.0;Alternance;0.0
30/04/2025;6.5;Alternance;24.0
01/05/2025;7.5;Week-end;105.0
02/05/2025;7.0;Alternance/Week-end;30.0
03/05/2025;8.5;Week-end;4.0
04/05/2025;6.0;Week-end;55.0
05/05/2025;7.0;Alternance;38.0
06/05/2025;7.0;Alternance;30.0
07/05/2025;6.5;Alternance;20.0
08/05/2025;7.0;Week-end;85.0
09/05/2025;7.0;Alternance/Week-end;75.0
10/05/2025;7.5;Week-end;93.0
11/05/2025;6.5;Week-end;58.0
12/05/2025;6.5;Alternance;5.0
13/05/2025;6.5;Alternance;10.0
14/05/2025;6.5;Alternance;0.0
15/05/2025;6.5;Alternance/Week-end;3.0
16/05/2025;7.0;Week-end;3.0
17/05/2025;8.0;Week-end;85.0
18/05/2025;6.5;Week-end;98.0
19/05/2025;7.0;Alternance;0.0
20/05/2025;7.0;Alternance;12.0
21/05/2025;5.0;Alternance;0.0
22/05/2025;6.0;Alternance;7.0
23/05/2025;5.5;Alternance/Week-end;1.0
24/05/2025;7.5;Week-end;0.0
25/05/2025;7.5;Week-end;33.0
26/05/2025;7.5;Alternance;1.0
27/05/2025;7.0;Alternance;10.0
28/05/2025;5.0;Alternance;10.0
29/05/2025;7.0;Jour férié;120.0
30/05/2025;6.5;Alternance/Week-end;98.0
31/05/2025;7.0;Week-end;122.0
01/06/2025;8.0;Week-end;10.0
02/06/2025;6.0;Alternance;0.0
03/06/2025;6.0;Alternance;8.0
04/06/2025;6.5;Alternance;60.0
05/06/2025;6.5;Alternance;0.0
06/06/2025;7.0;Alternance/Week-end;0.0
07/06/2025;6.5;Week-end;75.0
08/06/2025;6.0;Week-end;100.0
09/06/2025;6.0;Week-end;46.0
10/06/2025;6.0;Week-end;48.0
11/06/2025;6.5;Week-end;20.0
12/06/2025;7.0;Week-end;8.0
13/06/2025;7.5;Mission Sciencéthic;0.0
14/06/2025;7.0;Week-end;22.0
15/06/2025;6.0;Week-end;0.0
16/06/2025;7.0;Mission Sciencéthic;0.0
17/06/2025;7.0;Mission Sciencéthic;20.0
18/06/2025;6.5;Mission Sciencéthic;11.0
19/06/2025;7.5;Mission Sciencéthic;0.0
20/06/2025;6.0;Mission Sciencéthic;4.0
21/06/2025;7.5;Week-end;95.0
22/06/2025;6.5;Week-end;24.0
23/06/2025;;Mission Sciencéthic;
